Insert Participant,2025-05-17T13:55:04.678544300
Insert Bilet,2025-05-17T14:16:43.780867700
Insert Participant cu bilet,2025-05-17T14:16:43.803032700
Insert Bilet,2025-05-17T20:16:22.050540100
Insert Bilet,2025-05-17T20:16:22.064760900
Insert Participant cu bilet,2025-05-17T20:16:22.066259800
Insert Participant,2025-05-17T20:16:22.066259800
Insert Concert,2025-05-17T21:46:37.098550900
Insert Bilet,2025-05-17T23:29:50.329575200
Insert Bilet,2025-05-17T23:29:50.329575200
Insert Participant cu bilet,2025-05-17T23:29:50.350145100
Insert Participant,2025-05-17T23:29:50.350145100
Insert FoodCourt,2025-05-17T23:38:21.549008200
